sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
LKCP002_MCF7_24H:N19,BRD-K28731095,MCF7,0.15868,127,0.1939,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,3.0385940086045893
LKCP002_MCF7_24H:N20,BRD-K28731095,MCF7,0.197159,139,0.2735,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,2.4877370688547735
CRCGN004_PC3_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,PC3,0.181451,115,0.28,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.60628581988939
LKCP001_A549_24H:E19,BRD-K28731095,A549,0.186088,142,0.2385,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,2.1120614634919987
LKCP001_A549_24H:E20,BRD-K28731095,A549,0.0766896,83,0.0693,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.075111402641945
LKCP001_A549_24H:E21,BRD-K28731095,A549,0.0802654,44,0.1432,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,0.7778865138560189
LKCP001_A549_24H:F07,BRD-K84163249,A549,0.19494,135,0.2753,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.3883776207270566
ASG002_A549_24H:A24,BRD-K56429665,A549,0.130607,201,0.083,0.1,uM,24.0,h,False,False,True,True,-1.0,low,2.171715783693143
ASG002_A549_24H:A23,BRD-K56429665,A549,0.119695,121,0.1158,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.3512228671900084
ASG002_A549_24H:O08,BRD-K27316855,A549,0.0747566,56,0.0976,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.9000385009617387
CPD002_PC3_24H:BRD-K96390176-001-01-1:10,BRD-K96390176,PC3,0.300868,227,0.39,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.3107317162412198
CRCGN001_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.639945,646,0.62,10.0,uM,24.0,h,False,False,False,False,1.0,high,1.0311383966741259
CRCGN001_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.17485,299,0.1,10.0,uM,24.0,h,False,False,False,False,1.0,high,0.8728365432263898
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.19271,227,0.16,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.3738998611946556
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10UM,BRD-A31158127,HA1E,0.193134,228,0.16,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.3332823203019073
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.114044,106,0.12,10.0,uM,24.0,h,False,False,False,True,1.0,high,2.021607506056057
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10UM,BRD-A66229260,HA1E,0.125322,128,0.12,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.775850336472045
CRCGN004_PC3_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,PC3,0.176451,145,0.21,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.703761645169309
CPC011_A549_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,A549,0.30153,228,0.39,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.074201557856897
CPC011_A549_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,A549,0.22292,270,0.18,10.0,uM,24.0,h,False,False,True,False,1.0,high,1.3161729614923574
CPC011_PC3_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,PC3,0.307374,220,0.42,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.870061408854998
CPC011_PC3_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,PC3,0.287006,212,0.38,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.287253843651788
CPC014_A549_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,A549,0.166062,93,0.29,10.0,uM,24.0,h,False,False,True,False,1.0,high,1.104180865756627
CPC014_MCF7_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,MCF7,0.220429,297,0.16,10.0,uM,24.0,h,True,False,True,False,1.0,high,1.6005525523444293
CPC014_PC3_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,PC3,0.257406,240,0.27,10.0,uM,24.0,h,False,False,True,False,1.0,high,1.8253033341478366
CPD002_MCF7_24H:BRD-K96390176-001-01-1:10,BRD-K96390176,MCF7,0.227213,153,0.33,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.203643209113085
CPC005_A549_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,A549,0.230763,168,0.31,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.088897058543347
CPC005_HA1E_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,HA1E,0.136379,107,0.17,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.5856499913493156
CPC005_MCF7_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,MCF7,0.341385,278,0.41,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.9374451922850757
CPC005_PC3_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,PC3,0.44831,364,0.54,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.7418568951541435
CPC006_A549_24H:BRD-K27316855-001-02-6:1,BRD-K27316855,A549,0.155867,132,0.18,1.0,uM,24.0,h,False,False,True,False,0.0,low,1.0991129607898145
CPC006_HA1E_24H:I03,BRD-K27316855,HA1E,0.393145,287,0.5267,1.0,uM,24.0,h,True,False,True,False,0.0,high,0.8865582622015942
CPC006_MCF7_24H:I03,BRD-K27316855,MCF7,0.165384,125,0.214,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.228262402360171
CPC006_PC3_24H:I03,BRD-K27316855,PC3,0.26906,188,0.3766,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.08565745813586
ASG003_MCF7_24H:G24,BRD-K27316855,MCF7,0.0882319,62,0.1228,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.6573120707105262
