"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","epithelium development","GO:0060429","false","0.027352253987361977","1.5630068794241834","1238","107","19","21026","PHGDH,CLIC4,HES1,AKT1,TXNIP,PCK2,AKR1C1,TSC1,AKR1C2,BAD,HIF1A,AGR2,CDC42,STK3,TYMS,ITGB5,GJA1,PIK3CD,SRSF6"
"GO:BP","regulation of cellular process","GO:0050794","false","0.02791814629366877","1.5541134213338728","11946","107","82","21026","DDIT4,NFKBIA,KIF20A,NPC1,PHGDH,CLIC4,HES1,FKBP1A,ADGRE5,SV2C,SPP1,MAP3K4,TSC22D3,SSBP2,FHL2,SKIV2L,CCL2,CYCS,CASP7,AKT1,AVEN,CBS,TXNIP,PCK2,ANO1,KIF2A,EIF1B,GDF15,USP18,RRM1,AKR1C1,TSC1,MYH10,RHOD,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,MCC,HIF1A,MXD1,AGR2,CDC42,NCK1,GNAI2,STK3,SLC37A4,IFIH1,TYMS,FEZ1,ZC3HAV1,KPNA2,APOD,COQ7,PSME2,DROSHA,SDF2L1,SLC25A44,FBXW4,STMN2,SERPINB9,UFM1,RFX5,ITGB5,PWP1,TCEA2,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,DDX47,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,XK,IL15"
"GO:BP","regulation of biological quality","GO:0065008","false","0.03176675770315412","1.4980271094878157","2947","107","32","21026","CLIC4,PAPSS2,GLRX,SPP1,COG7,CCL2,AKT1,CBS,PCK2,ANO1,GDF15,CSRP1,AKR1C1,TSC1,MYH10,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,RAB11FIP2,GJA1,NPPB,FBXO7,XK"
"GO:BP","regulation of epithelial cell proliferation","GO:0050678","true","0.03257888389906506","1.4870637980133905","364","107","10","21026","HES1,CCL2,AKT1,BAD,MCC,HIF1A,CDC42,STK3,PIK3CD,SRSF6"
"GO:BP","cell surface receptor signaling pathway","GO:0007166","true","0.035270273857402334","1.452591168223156","2819","107","31","21026","DDIT4,NFKBIA,HES1,FKBP1A,ADGRE5,CCL2,AKT1,TXNIP,GDF15,USP18,BAD,LYN,TNK2,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,IFIH1,APOD,FBXW4,ITGB5,PWP1,RAB11FIP2,SASH1,DDX47,PIK3CD,NPPB,IL15"
"GO:BP","intracellular signal transduction","GO:0035556","false","0.03599406203135414","1.443769139224948","2965","107","32","21026","DDIT4,NFKBIA,NPC1,FKBP1A,MAP3K4,FHL2,CYCS,AKT1,CBS,GDF15,TSC1,RHOD,AKR1C2,BAD,LYN,TNK2,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,IFIH1,ZC3HAV1,UFM1,RUNDC3A,EIF4EBP1,SASH1,GJA1,PIK3CD,NPPB,FBXO7"
"GO:BP","chemical homeostasis","GO:0048878","false","0.03842963685029957","1.4153337194819477","1043","107","17","21026","NPC1,CLIC4,FKBP1A,MT1H,AKT1,MAIP1,PCK2,ANO1,AKR1C1,BAD,LYN,ABCA2,HIF1A,SLC37A4,RAB11FIP2,NPPB,XK"
"GO:BP","cellular response to hormone stimulus","GO:0032870","false","0.04169063958460996","1.3799614422223196","638","107","13","21026","DDIT4,NPC1,AKT1,PCK2,GDF15,AKR1C1,AKR1C2,LYN,CTSL,NCK1,GNAI2,SERPINB9,UFM1"
"GO:BP","protein import into nucleus","GO:0006606","true","0.0435533247709165","1.360978686246492","166","107","7","21026","NFKBIA,AKT1,TXNIP,STK3,KPNA2,APOD,UFM1"
"GO:BP","leukocyte homeostasis","GO:0001776","true","0.04713555886741814","1.32665133929653","113","107","6","21026","TSC22D3,AKT1,LYN,HIF1A,SLC37A4,PIK3CD"
