sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,pert_dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,dose_bin,core_score
MUC.CP008_HA1E_24H:H22,BRD-K81332461,HA1E,0.0676814,64,0.07,0.185185,uM,24.0,h,False,False,True,True,low,-0.3018278788427458
LKCP002_MCF7_24H:N21,BRD-K28731095,MCF7,0.141976,144,0.1369,0.05,uM,24.0,h,False,False,True,True,low,0.0027794590205559386
LKCP002_U2OS_24H:N19,BRD-K28731095,U2OS,0.164348,147,0.1797,5.0,uM,24.0,h,False,False,True,True,high,-0.13669775058168337
LKCP002_U2OS_24H:N20,BRD-K28731095,U2OS,0.189517,163,0.2155,0.5,uM,24.0,h,False,False,True,True,low,-0.10723182140535936
LKCP002_U2OS_24H:N21,BRD-K28731095,U2OS,0.153207,120,0.1913,0.05,uM,24.0,h,False,False,True,True,low,-0.17735704509084269
MOAR002_PC3_24H:B22,BRD-A84327315,PC3,0.350285,250,0.48,10.0,uM,24.0,h,True,False,True,True,high,0.40987090268528675
MOAR002_PC3_24H:B23,BRD-A84327315,PC3,0.329559,226,0.47,3.33333,uM,24.0,h,False,False,True,True,high,0.2366227310349091
MOAR002_PC3_24H:B24,BRD-A84327315,PC3,0.348074,289,0.41,1.11111,uM,24.0,h,False,False,True,True,high,0.3578390922854783
MUC.CP008_HA1E_24H:F07,BRD-K28731095,HA1E,0.179496,137,0.23,10.0,uM,24.0,h,True,False,True,True,high,0.251552090843162
REP.B001_PC3_24H:I16,BRD-K28731095,PC3,0.296478,294,0.2924,0.0854701,uM,24.0,h,False,False,True,True,low,0.7611537054278095
REP.B001_PC3_24H:I17,BRD-K28731095,PC3,0.176856,175,0.1748,0.02849,uM,24.0,h,False,False,True,True,low,-0.0024314522676206485
REP.B001_PC3_24H:I18,BRD-K28731095,PC3,0.172192,163,0.1779,0.00949668,uM,24.0,h,False,False,True,True,low,-0.07409842777038662
LKCP002_A549_24H:N19,BRD-K28731095,A549,0.0867759,76,0.0969,5.0,uM,24.0,h,False,False,True,True,high,-0.29965110414875784
LKCP002_A549_24H:N20,BRD-K28731095,A549,0.112583,113,0.1097,0.5,uM,24.0,h,False,False,True,True,low,-0.36777592338629367
LKCP002_A549_24H:N21,BRD-K28731095,A549,0.0687606,85,0.0544,0.05,uM,24.0,h,False,False,True,True,low,-0.18193827508352145
LKCP002_MCF7_24H:N19,BRD-K28731095,MCF7,0.15868,127,0.1939,5.0,uM,24.0,h,False,False,True,True,high,0.25745623924278144
LKCP002_MCF7_24H:N20,BRD-K28731095,MCF7,0.197159,139,0.2735,0.5,uM,24.0,h,False,False,True,True,low,0.020222525743034122
CRCGN004_PC3_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,PC3,0.181451,115,0.28,10.0,uM,24.0,h,True,False,True,True,high,-0.2658199206861236
LKCP001_A549_24H:E19,BRD-K28731095,A549,0.186088,142,0.2385,5.0,uM,24.0,h,False,False,True,True,high,-0.04621397032062881
LKCP001_A549_24H:E20,BRD-K28731095,A549,0.0766896,83,0.0693,0.5,uM,24.0,h,False,False,True,True,low,-0.5773822838184728
LKCP001_A549_24H:E21,BRD-K28731095,A549,0.0802654,44,0.1432,0.05,uM,24.0,h,False,False,True,True,low,-0.7158645732017284
LKCP001_A549_24H:F07,BRD-K84163249,A549,0.19494,135,0.2753,10.0,uM,24.0,h,True,False,True,True,high,-0.046948109432438774
ASG002_A549_24H:A24,BRD-K56429665,A549,0.130607,201,0.083,0.1,uM,24.0,h,False,False,True,True,low,0.6335838597601389
ASG002_A549_24H:A23,BRD-K56429665,A549,0.119695,121,0.1158,1.0,uM,24.0,h,False,False,True,True,high,-0.2777648293774735
ASG002_A549_24H:O08,BRD-K27316855,A549,0.0747566,56,0.0976,1.0,uM,24.0,h,False,False,True,True,high,-0.25631396859576866
CPD002_PC3_24H:BRD-K96390176-001-01-1:10,BRD-K96390176,PC3,0.300868,227,0.39,10.0,uM,24.0,h,True,False,True,True,high,0.1934659894732482
CRCGN001_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.639945,646,0.62,10.0,uM,24.0,h,False,False,False,False,high,-0.17057758998171288
CRCGN001_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.17485,299,0.1,10.0,uM,24.0,h,False,False,False,False,high,-0.4544854069095895
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.19271,227,0.16,10.0,uM,24.0,h,False,False,False,True,high,-0.5189229823330789
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10UM,BRD-A31158127,HA1E,0.193134,228,0.16,10.0,uM,24.0,h,False,False,False,True,high,-0.519252365953384
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.114044,106,0.12,10.0,uM,24.0,h,False,False,False,True,high,-0.43962895002373936
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10UM,BRD-A66229260,HA1E,0.125322,128,0.12,10.0,uM,24.0,h,False,False,False,True,high,-0.44931058584517436
CRCGN004_PC3_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,PC3,0.176451,145,0.21,10.0,uM,24.0,h,False,False,True,True,high,-0.39933317192200585
CPC011_A549_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,A549,0.30153,228,0.39,10.0,uM,24.0,h,False,False,True,True,high,-0.3305370426535347
CPC011_A549_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,A549,0.22292,270,0.18,10.0,uM,24.0,h,False,False,True,False,high,-0.026583930263633898
CPC011_PC3_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,PC3,0.307374,220,0.42,10.0,uM,24.0,h,False,False,True,True,high,0.2760011436878711
CPC011_PC3_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,PC3,0.287006,212,0.38,10.0,uM,24.0,h,False,False,True,True,high,0.059588486602547855
CPC014_A549_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,A549,0.166062,93,0.29,10.0,uM,24.0,h,False,False,True,False,high,-0.3874145754577098
CPC014_MCF7_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,MCF7,0.220429,297,0.16,10.0,uM,24.0,h,True,False,True,False,high,0.06385449308882442
CPC014_PC3_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,PC3,0.257406,240,0.27,10.0,uM,24.0,h,False,False,True,False,high,-0.23501282505536136
CPD002_MCF7_24H:BRD-K96390176-001-01-1:10,BRD-K96390176,MCF7,0.227213,153,0.33,10.0,uM,24.0,h,True,False,True,True,high,0.14068732667692976
CPC005_A549_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,A549,0.230763,168,0.31,10.0,uM,24.0,h,False,False,True,True,high,0.04440514717075335
CPC005_HA1E_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,HA1E,0.136379,107,0.17,10.0,uM,24.0,h,False,False,True,True,high,0.5432502571880052
CPC005_MCF7_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,MCF7,0.341385,278,0.41,10.0,uM,24.0,h,False,False,True,True,high,0.4403532176263927
CPC005_PC3_24H:BRD-K56429665-001-03-9:10,BRD-K56429665,PC3,0.44831,364,0.54,10.0,uM,24.0,h,True,False,True,True,high,0.27885823815594524
CPC006_A549_24H:BRD-K27316855-001-02-6:1,BRD-K27316855,A549,0.155867,132,0.18,1.0,uM,24.0,h,False,False,True,False,high,-0.43519361031218257
CPC006_HA1E_24H:I03,BRD-K27316855,HA1E,0.393145,287,0.5267,1.0,uM,24.0,h,True,False,True,False,high,-0.4432863358430704
CPC006_MCF7_24H:I03,BRD-K27316855,MCF7,0.165384,125,0.214,1.0,uM,24.0,h,False,False,True,True,high,-0.25394514801380064
CPC006_PC3_24H:I03,BRD-K27316855,PC3,0.26906,188,0.3766,1.0,uM,24.0,h,False,False,True,True,low,-0.3447287990676375
ASG003_MCF7_24H:G24,BRD-K27316855,MCF7,0.0882319,62,0.1228,0.1,uM,24.0,h,False,False,True,True,low,-0.3054372571344146
ASG003_U2OS_24H:G19,BRD-K56429665,U2OS,0.107839,82,0.1387,10.0001,uM,24.0,h,False,False,True,True,high,-0.0230331025250069
ASG003_U2OS_24H:G20,BRD-K56429665,U2OS,0.0863933,77,0.0948,1.00001,uM,24.0,h,False,False,True,True,high,-0.37028825542053834
ASG003_U2OS_24H:G21,BRD-K56429665,U2OS,0.117513,82,0.1647,0.100001,uM,24.0,h,False,False,True,True,low,0.02326135033850768
ASG003_U2OS_24H:G22,BRD-K27316855,U2OS,0.137164,125,0.1472,10.0,uM,24.0,h,False,False,True,True,high,-0.0493085715051286
ASG003_U2OS_24H:G23,BRD-K27316855,U2OS,0.0971053,87,0.106,1.0,uM,24.0,h,False,False,True,True,high,-0.193998990859434
REP.A009_A549_24H:D03,BRD-K28456624,A549,0.0952636,61,0.1455,1.11111,uM,24.0,h,False,False,True,True,high,-0.2688301413935802
REP.A009_A549_24H:D04,BRD-K28456624,A549,0.0884264,88,0.0869,0.37037,uM,24.0,h,False,False,True,True,low,-0.43165913295110075
ASG003_A549_24H:G22,BRD-K27316855,A549,0.220147,128,0.3703,10.0,uM,24.0,h,True,False,True,True,high,0.013352952148109512
ASG003_A549_24H:G23,BRD-K27316855,A549,0.155816,86,0.2761,1.0,uM,24.0,h,False,False,True,True,high,-0.3603810043451561
ASG003_A549_24H:G24,BRD-K27316855,A549,0.153833,103,0.2247,0.1,uM,24.0,h,False,False,True,True,low,-0.5956417962456954
ASG003_MCF7_24H:G19,BRD-K56429665,MCF7,0.227993,122,0.4167,10.0001,uM,24.0,h,True,False,True,True,high,0.33154965486487065
ASG003_MCF7_24H:G20,BRD-K56429665,MCF7,0.156176,68,0.3508,1.00001,uM,24.0,h,False,False,True,True,high,-0.03843884697620607
ASG003_MCF7_24H:G21,BRD-K56429665,MCF7,0.156127,69,0.3455,0.100001,uM,24.0,h,False,False,True,True,low,0.16904034096569623
ASG003_MCF7_24H:G22,BRD-K27316855,MCF7,0.207028,115,0.3645,10.0,uM,24.0,h,False,False,True,True,high,0.18453556351019962
ASG003_MCF7_24H:G23,BRD-K27316855,MCF7,0.164231,87,0.3032,1.0,uM,24.0,h,False,False,True,True,high,-0.05216231811847944
ASG002_PC3_24H:A23,BRD-K56429665,PC3,0.283825,253,0.3114,1.0,uM,24.0,h,False,False,True,True,low,0.10131502243386203
ASG002_PC3_24H:A24,BRD-K56429665,PC3,0.326479,261,0.3994,0.1,uM,24.0,h,False,False,True,True,low,0.02328622482617021
ASG002_PC3_24H:O07,BRD-K27316855,PC3,0.353466,248,0.4927,10.0,uM,24.0,h,True,False,True,True,high,0.27886866476483607
ASG002_PC3_24H:O08,BRD-K27316855,PC3,0.317973,229,0.4318,1.0,uM,24.0,h,False,False,True,True,low,0.678541300227811
ASG002_PC3_24H:O09,BRD-K27316855,PC3,0.273056,184,0.3963,0.1,uM,24.0,h,False,False,True,True,low,-0.11019569859744399
ASG003_A549_24H:G19,BRD-K56429665,A549,0.240857,134,0.4234,10.0001,uM,24.0,h,False,False,True,True,high,0.2895158456224331
ASG003_A549_24H:G20,BRD-K56429665,A549,0.120089,82,0.172,1.00001,uM,24.0,h,False,False,True,True,high,-0.4332389294362471
ASG003_A549_24H:G21,BRD-K56429665,A549,0.100779,43,0.231,0.100001,uM,24.0,h,False,False,True,True,low,-0.5257169951671361
ASG002_A549_24H:O09,BRD-K27316855,A549,0.114514,342,0.0375,0.1,uM,24.0,h,False,False,True,True,low,0.49840111093176553
