term,ES,pval,set_size,leading_edge_frac,fdr_bh
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.15333661840251847,0.0024937655860349127,286,0.13636363636363635,0.031547636931766966
REACTOME_TRANSLATION,0.1531537679873929,0.0024937655860349127,226,0.16371681415929204,0.031547636931766966
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,0.1523171564911504,0.0024937655860349127,273,0.1575091575091575,0.031547636931766966
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,0.6122262712601342,0.004987531172069825,33,0.5454545454545454,0.04894306290348894
REACTOME_DISEASES_OF_DNA_REPAIR,0.5988351782808866,0.004987531172069825,46,0.45652173913043476,0.04894306290348894
REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX,0.5626122480137574,0.004987531172069825,19,0.42105263157894735,0.04894306290348894
REACTOME_DECTIN_2_FAMILY,0.528205808053013,0.004987531172069825,17,0.17647058823529413,0.04894306290348894
REACTOME_CD209_DC_SIGN_SIGNALING,0.49724683593171265,0.004987531172069825,21,0.23809523809523808,0.04894306290348894
REACTOME_FORMATION_OF_NEURONAL_PROGENITOR_AND_NEURONAL_BAF_NPBAF_AND_NBAF,0.46544922266948097,0.004987531172069825,24,0.375,0.04894306290348894
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.4548314547775003,0.004987531172069825,26,0.11538461538461539,0.04894306290348894
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,0.4334222811621952,0.004987531172069825,25,0.2,0.04894306290348894
REACTOME_SNRNP_ASSEMBLY,0.38449024109898844,0.004987531172069825,46,0.32608695652173914,0.04894306290348894
REACTOME_FLT3_SIGNALING,0.3706393586677854,0.004987531172069825,37,0.21621621621621623,0.04894306290348894
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,0.3561810439938313,0.004987531172069825,42,0.23809523809523808,0.04894306290348894
REACTOME_CRISTAE_FORMATION,0.34978801626898537,0.004987531172069825,25,0.24,0.04894306290348894
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.34261574387496574,0.004987531172069825,39,0.3076923076923077,0.04894306290348894
REACTOME_G2_M_CHECKPOINTS,0.3022941726204317,0.004987531172069825,114,0.30701754385964913,0.04894306290348894
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,0.27722888954177755,0.004987531172069825,93,0.26881720430107525,0.04894306290348894
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,0.2689030982245276,0.004987531172069825,82,0.25609756097560976,0.04894306290348894
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.22311889532459872,0.004987531172069825,77,0.15584415584415584,0.04894306290348894
