sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
MUC.CP008_HA1E_24H:H24,BRD-K81332461,HA1E,0.267916,234,0.3,0.0205761,uM,24.0,h,False,False,True,True,-1.6866369380763104,low,0.7761690203008601
MUC.CP008_MCF7_24H:F07,BRD-K28731095,MCF7,0.327537,244,0.43,10.0,uM,24.0,h,True,False,True,True,1.0,high,4.1104744365835035
MUC.CP008_MCF7_24H:F09,BRD-K28731095,MCF7,0.177116,118,0.26,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.2961466391941667
MUC.CP008_MCF7_24H:F10,BRD-K28731095,MCF7,0.185464,116,0.29,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.7718855683351467
MUC.CP008_MCF7_24H:F11,BRD-K28731095,MCF7,0.147647,82,0.26,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.2347866878389686
MUC.CP008_MCF7_24H:F12,BRD-K28731095,MCF7,0.137462,77,0.24,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.4000896193068924
LKCP001_A549_24H:F08,BRD-K84163249,A549,0.0969599,72,0.1277,1.0,uM,24.0,h,False,False,True,True,0.0,low,0.9895872316913221
MUC.CP008_HA1E_24H:F08,BRD-K28731095,HA1E,0.0841777,63,0.11,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.7578297150066087
MUC.CP008_HA1E_24H:F09,BRD-K28731095,HA1E,0.167717,131,0.21,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.1184802247723455
MUC.CP008_HA1E_24H:F10,BRD-K28731095,HA1E,0.105085,60,0.18,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.4321969825816179
MUC.CP008_HA1E_24H:F11,BRD-K28731095,HA1E,0.0813988,81,0.08,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.4046470333019414
MUC.CP008_HA1E_24H:F12,BRD-K28731095,HA1E,0.071787,63,0.08,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.2543218243998224
MUC.CP008_HA1E_24H:H20,BRD-K81332461,HA1E,0.0682082,65,0.07,1.66667,uM,24.0,h,False,False,True,True,0.22184961820445162,high,1.3676871295820408
MUC.CP008_HA1E_24H:H21,BRD-K81332461,HA1E,0.113415,74,0.17,0.555556,uM,24.0,h,False,False,True,True,-0.2552721576678595,low,2.764708606136224
MUC.CP008_HA1E_24H:H22,BRD-K81332461,HA1E,0.0676814,64,0.07,0.185185,uM,24.0,h,False,False,True,True,-0.7323941941176676,low,2.5142133663547943
LKCP002_MCF7_24H:N21,BRD-K28731095,MCF7,0.141976,144,0.1369,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.7852617250315
LKCP002_U2OS_24H:N19,BRD-K28731095,U2OS,0.164348,147,0.1797,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,2.113641707263203
LKCP002_U2OS_24H:N20,BRD-K28731095,U2OS,0.189517,163,0.2155,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.629548071852883
LKCP002_U2OS_24H:N21,BRD-K28731095,U2OS,0.153207,120,0.1913,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.8198655099642076
MOAR002_PC3_24H:B22,BRD-A84327315,PC3,0.350285,250,0.48,10.0,uM,24.0,h,True,False,True,True,1.0,high,3.381221917717373
MOAR002_PC3_24H:B23,BRD-A84327315,PC3,0.329559,226,0.47,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.737443175628867
